"","Location_Name","MeanMaxDailyLight"
"1","ADM001",88.4454413621169
"2","ADM002",88.2969307432113
"3","ADM003",86.9025088339316
"4","BLL009",78.2695973122559
"5","BLL040",81.3649
"6","BUD002",59.737548828125
"7","BUD005",78.3058133104278
"8","CMB003",87.7457423145113
"9","CMB006",87.4047012329102
"10","CRR001",85.1480996100064
"11","CSE001",82.2296483881304
"12","DNA001",82.3709323943737
"13","DYE004",83.9607257843018
"14","EAG001",80.0540256500244
"15","EAP001",87.3829920540018
"16","EAS001",62.0530789693196
"17","ELB015",88.4842068963772
"18","ELD001",81.0008487701416
"19","FID001",75.4436670939128
"20","GOR001",88.7750510144043
"21","GRG002",88.1404425722184
"22","GYS004",18.6369929810365
"23","GYS009",28.4956889152527
"24","GYS015",61.2120666503906
"25","GYS016",51.8403951133728
"26","HCB003",80.0293563809395
"27","HCB004",80.9231246932983
"28","HCB007",78.6564758677556
"29","HCB010",80.4046795494806
"30","HCB013",81.30125
"31","HLM001",92.5138651529948
"32","JDF007",83.322374979655
"33","LOP001",83.485969543457
"34","NSQ002",84.8777404976981
"35","OAK004",74.6889096797943
"36","PGA001",74.6461009979248
"37","PMA001",81.0022239685059
"38","PNN001",84.1230341593425
"39","PSB003",87.9784530102539
"40","PSS019",88.9402536297772
"41","PTH005",84.356225395007
"42","RSR837",86.327287554341
"43","SAR003",88.0059952108283
"44","SEQ002",63.9445514678955
"45","SIN001",82.4334622174944
"46","SJF000",89.9945751141357
"47","SJF001",90.5651145837402
"48","SJF002",90.0029840267784
"49","SKG003",72.1752768100623
"50","TOT001",81.3978242874146
"51","TOT002",74.5295003255208
"52","WPA001",9.39396681520158
"53","WPA003",20.5730991363525
"54","WPA004",55.9658086183675
"55","WPA006",55.8113179136876
"56","WPA007",51.6963292569247
"57","WPA008",32.4820650236342
"58","WPA113",62.4489748565674
