"","Location_Name","MeanMaxDailyLight"
"1","ADM001",90.9521958398438
"2","ADM002",88.815072784947
"3","ADM003",93.6102049496737
"4","BLL009",86.1587054473133
"5","BLL040",88.9223666666667
"6","BUD002",83.4621257781982
"7","BUD005",80.2022549387377
"8","CMB003",95.1913060394965
"9","CMB006",85.4715003967285
"10","CRR001",95.2667887712751
"11","CSE001",90.1806258384487
"12","CSE002",90.4042301177979
"13","DNA001",85.9999902557373
"14","DYE004",87.0389499664307
"15","EAG001",82.3411483764648
"16","EAP001",95.5093718919657
"17","EAS001",93.1239337921143
"18","ELB015",95.724841132979
"19","ELD001",79.5679997035435
"20","FID001",75.7190990447998
"21","GOR001",92.6557610787132
"22","GRG002",92.6326068636508
"23","GYS004",38.9986627366808
"24","GYS008",29.252398343548
"25","GYS009",48.2491177150181
"26","GYS015",70.9153159005301
"27","GYS016",58.7725004221598
"28","HCB003",95.8184721309886
"29","HCB004",90.4937207283714
"30","HCB007",90.4144720980558
"31","HCB010",93.1103116318814
"32","HCB013",79.2662625
"33","HLM001",97.1978569030762
"34","JDF007",93.2319310506185
"35","LOP001",84.9990997314453
"36","NSQ002",91.9504579186728
"37","OAK004",71.8916465645724
"38","PGA001",80.6722755432129
"39","PMA001",93.348575592041
"40","PNN001",90.4387350082397
"41","PSB003",92.8384622136896
"42","PSS019",95.350228969901
"43","PTH005",85.3047222894287
"44","QMH002",78.1425743103027
"45","RSR837",88.5124746799469
"46","SAR003",94.2397258582706
"47","SEQ002",89.7547245025635
"48","SIN001",83.9360994961051
"49","SJF000",92.4703541021174
"50","SJF001",92.5932728837447
"51","SJF002",92.3722286475772
"52","SKG003",74.552562024819
"53","TOT001",82.7987278529576
"54","TOT002",62.7216758728027
"55","WPA001",27.0061009371722
"56","WPA003",41.6295420715713
"57","WPA004",63.8536208054315
"58","WPA006",66.450098493993
"59","WPA007",59.7312923468696
"60","WPA008",43.0823836485056
"61","WPA102",48.1921259562174
"62","WPA113",67.1459183144174
